Date,Product,Units Sold,Revenue,Category
2025-01-01,Laptop,10,15000.00,Electronics
2025-01-02,Mobile,5,2500.00,Electronics
2025-02-03,Headphones,8,1200.00,Accessories
2025-02-04,Tablet,7,4900.00,Electronics
2025-03-05,Monitor,3,3600.00,Electronics
2025-04-06,Smartwatch,6,3600.00,Electronics
2025-04-07,Laptop,4,8000.00,Electronics
2025-04-08,Keyboard,9,450.00,Accessories
2025-04-09,Camera,2,2400.00,Electronics
2025-05-10,Printer,15,6750.00,Electronics
2025-05-11,Mouse,10,250.00,Accessories
2025-06-12,,12,3000.00,Electronics
2025-07-13,Mobile,15,7500.00,Unknown
2025-07-14,Headphones,6,-1200.00,Accessories
2025-07-15,Tablet,10,6000.00,Electronics
2025-08-16,Monitor,,1800.00,Electronics
2025-08-17,Laptop,5,7500.00,
2025-08-18,Smartwatch,3,1800.00,Electronics
2025-09-19,Keyboard,12,480.00,Accessories
2025-09-20,Mobile,-5,1250.00,Electronics
2025-09-21,Laptop,8,12000.00,Electronics
2025-09-22,Printer,4,,Electronics
2025-10-23,Mouse,7,175.00,Accessories
2025-10-24,Laptop,9,13500.00,Electronics
2025-11-25,Tablet,8,4800.00,Electronics
2025-11-26,Headphones,10,1500.00,Accessories
2025-11-27,Camera,4,4800.00,Electronics
2025-12-28,Smartwatch,5,3000.00,Electronics
2025-12-29,Mobile,8,4000.00,Unknown
2025-12-30,Laptop,10,15000.00,Electronics
